"","Gene.symbol","Log2FoldChange","ENTREZID"
"671","PARD3",1.741681515,"56288"
"672","SNRNP40",1.741283606,"9410"
"673","TRHDE",1.741060334,"29953"
"674","C2orf49",1.738263969,"79074"
"675","MOXD1",1.737610411,"26002"
"676","ABHD17B",1.735861991,"51104"
"677","CHRNA5",1.735817473,"1138"
"678","MAP2K4",1.734116956,"6416"
"679","DNAJA2",1.732488029,"10294"
"680","GAS2L3",1.731718194,"283431"
"681","STYXL1",1.729989275,"51657"
"682","TTLL7",1.728536696,"79739"
"683","POLR3C",1.728123226,"10623"
"684","KRBOX4",1.725990067,"55634"
"685","GCFC2",1.725968645,"6936"
"686","RSL24D1",1.72538048,"51187"
"687","GPC6",1.725118332,"10082"
"688","HEATR5B",1.724653125,"54497"
"689","NUDT2",1.723079346,"318"
"690","ABHD5",1.722499787,"51099"
"691","MTRF1",1.721782884,"9617"
"692","C17orf75",1.721254231,"64149"
"693","TRMT11",1.720858441,"60487"
"694","ANO4",1.719164612,"121601"
